[17:55:59] [INFO] received Windows console close event; shutting log-core down
[17:57:03] [INFO] received Windows console close event; shutting log-core down
[17:58:04] [INFO] received Windows console close event; shutting log-core down
[17:59:26] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[18:00:40] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[18:01:53] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[18:04:15] [INFO] received Windows console close event; shutting log-core down
[18:05:17] [INFO] received Windows console close event; shutting log-core down
[18:43:46] [INFO] received Windows console close event; shutting log-core down
[18:43:54] [INFO] received Windows console close event; shutting log-core down
[18:44:49] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:01:21] [INFO] received Windows console close event; shutting log-core down
[19:09:45] [INFO] received Windows console close event; shutting log-core down
[19:13:36] [INFO] received Windows console close event; shutting log-core down
[19:15:48] [INFO] received Windows console close event; shutting log-core down
[19:16:35] [INFO] received Windows console close event; shutting log-core down
[19:18:46] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:19:36] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:33:55] [INFO] received Windows console close event; shutting log-core down
[19:36:23] [INFO] received Windows console close event; shutting log-core down
[19:39:35] [INFO] received Windows console close event; shutting log-core down
[19:43:18] [INFO] received Windows console close event; shutting log-core down
[19:48:39] [INFO] received Windows console close event; shutting log-core down
[19:50:42] [INFO] received Windows console close event; shutting log-core down
[19:52:18] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[21:36:07] [INFO] received Windows console close event; shutting log-core down
[21:36:26] [INFO] received Windows console close event; shutting log-core down
[21:36:29] [INFO] received Windows console close event; shutting log-core down
[21:36:53] [INFO] received Windows console close event; shutting log-core down
[09:13:20] [INFO] received Windows console close event; shutting log-core down
[09:18:01] [INFO] received Windows console close event; shutting log-core down
[09:19:18] [INFO] received Windows console close event; shutting log-core down
[09:25:27] [INFO] received Windows console close event; shutting log-core down
[09:26:26] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[09:28:40] [INFO] received Windows console close event; shutting log-core down
[09:29:26] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[09:32:27] [INFO] received Windows console close event; shutting log-core down
[09:35:31] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[09:37:06] [INFO] received Windows console close event; shutting log-core down
[09:38:56] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[09:41:29] [INFO] received Windows console close event; shutting log-core down
[09:42:29] [INFO] received Windows console close event; shutting log-core down
[09:44:34] [INFO] received Windows console close event; shutting log-core down
[09:51:53] [INFO] received Windows console close event; shutting log-core down
[10:00:36] [INFO] received Windows console close event; shutting log-core down
[10:00:58] [INFO] received Windows console close event; shutting log-core down
[10:05:05] [INFO] received Windows console close event; shutting log-core down
[10:06:26] [INFO] received Windows console close event; shutting log-core down
[10:08:00] [INFO] received Windows console close event; shutting log-core down
[10:11:17] [INFO] received Windows console close event; shutting log-core down
[10:14:10] [INFO] received Windows console close event; shutting log-core down
[10:15:20] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10:17:06] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[10:18:59] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[13:39:24] [INFO] received Windows console close event; shutting log-core down
[13:45:27] [INFO] received Windows console close event; shutting log-core down
[13:48:07] [INFO] received Windows console close event; shutting log-core down
[13:49:01] [INFO] received Windows console close event; shutting log-core down
[15:59:27] [INFO] received Windows console close event; shutting log-core down
[16:10:56] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[16:12:20] [INFO] received Windows console close event; shutting log-core down
[16:15:10] [INFO] received Windows console close event; shutting log-core down
[16:18:32] [INFO] received Windows console close event; shutting log-core down
[16:22:48] [INFO] received Windows console close event; shutting log-core down
[16:26:41] [INFO] received Windows console close event; shutting log-core down
[16:29:01] [INFO] received Windows console close event; shutting log-core down
[16:30:31] [INFO] received Windows console close event; shutting log-core down
[16:31:25] [INFO] received Windows console close event; shutting log-core down
[16:37:39] [INFO] received Windows console close event; shutting log-core down
[16:43:29] [INFO] received Windows console close event; shutting log-core down
[16:54:04] [INFO] received Windows console close event; shutting log-core down
[16:55:13] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[16:57:49] [INFO] received Windows console close event; shutting log-core down
[16:58:38] [INFO] received Windows console close event; shutting log-core down
[17:01:55] [INFO] received Windows console close event; shutting log-core down
[17:03:00] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[17:06:07] [INFO] received Windows console close event; shutting log-core down
[17:08:46] [INFO] received Windows console close event; shutting log-core down
[17:11:50] [INFO] received Windows console close event; shutting log-core down
[17:13:12] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[19:07:07] [INFO] received Windows console close event; shutting log-core down
[10:29:18] [INFO] received Windows console close event; shutting log-core down
[10:35:45] [INFO] received Windows console close event; shutting log-core down
[14:30:50] [INFO] received Windows console close event; shutting log-core down
[14:32:15] [INFO] received Windows console close event; shutting log-core down
[14:34:15] [INFO] received Windows console close event; shutting log-core down
[14:35:40] [INFO] received Windows console close event; shutting log-core down
[14:37:00] [INFO] received Windows console close event; shutting log-core down
[14:38:21] [INFO] received Windows console close event; shutting log-core down
[14:38:54] [INFO] received Windows console close event; shutting log-core down
[14:40:02] [INFO] received Windows console close event; shutting log-core down
[14:40:54] [INFO] received Windows console close event; shutting log-core down
[14:45:09] [INFO] received Windows console close event; shutting log-core down
[14:47:20] [INFO] received Windows console close event; shutting log-core down
[14:48:29] [INFO] received Windows console close event; shutting log-core down
[14:49:14] [INFO] received Windows console close event; shutting log-core down
[14:50:19] [INFO] received Windows console close event; shutting log-core down
[14:51:39] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[08:43:09] [INFO] received Windows console close event; shutting log-core down
[16:00:34] [INFO] received Windows console close event; shutting log-core down
[12:04:56] [INFO] received Windows console close event; shutting log-core down
[14:49:12] [INFO] received Windows console close event; shutting log-core down
[17:17:25] [INFO] received Windows console close event; shutting log-core down
[18:50:24] [INFO] received Windows console close event; shutting log-core down
[19:07:21] [INFO] received Windows console close event; shutting log-core down
[12:15:35] [INFO] received Windows console close event; shutting log-core down
[13:05:21] [INFO] received Windows console close event; shutting log-core down
[13:08:08] [INFO] received Windows console close event; shutting log-core down
[15:42:20] [INFO] received Windows console close event; shutting log-core down
